un placer,adios
chao,adios
adios,adios
fue muy util,adios
cualquier cosa les informo,adios
le hablare luego,adios
"ok, nos vemos",adios
Mi problema no puede ser resuelto en el sitio web o sistemas automatizados. ¿Algún centro de servicio o número telefónico 24 horas al que pueda llamar?,Customer_Care_Contact_Us
"Necesito encontrar el número telefónico de uno de tus tiendas en mi área más próxima, ¿puedes ayudarme?",Customer_Care_Contact_Us
Necesito hablar directamente con mi proveedor de servicio por favor,Customer_Care_Contact_Us
Por favor dame el número telefónico directo de un agente humano de mi proveedor de servicio,Customer_Care_Contact_Us
Prefiro llamaros por telefono,Customer_Care_Contact_Us
Puede ayudarme con el numero de la tienda? Necesito llamar,Customer_Care_Contact_Us
¿Puede llamarme? ¿Puedo enviar un número telefónico por mensaje directo?,Customer_Care_Contact_Us
¿Puedes darme las maneras diferentes de ponerme en contacto con ustedes?,Customer_Care_Contact_Us
"¿Puedo contactar la empresa por correo, si necesito?",Customer_Care_Contact_Us
"Terminé de enviar de nuevo la información como me pidieron. Ahora, ¿cómo los contacto?",Customer_Care_Contact_Us
¿Cuál es su número telefónico de contacto para preguntas de facturación?,Customer_Care_Contact_Us
"Necesito llamar a una tienda en mi zona, ¿puedo obtener un número de ti?",Customer_Care_Contact_Us
¿Cuál es su tienda general más cercana a mí?,Customer_Care_Contact_Us
¿Cuál es una dirección de email en la que puedo contactarlos?,Customer_Care_Contact_Us
¿De qué otra forma puedo llamar a esta empresa?,Customer_Care_Contact_Us
"Hola, ¿podrías decirme el número telefónico de mi tienda local, por favor?",Customer_Care_Contact_Us
Hola  ¿puedes darme la información de contacto de empresa?,Customer_Care_Contact_Us
Hola. Tengo un problema técnico y quiero contactar a mi proveedor de servicios.,Customer_Care_Contact_Us
Me gustaría ponerme en contacto con usted mediante correo electrónico.,Customer_Care_Contact_Us
"Yo soy extranjera y necesito abrir mi cuenta aquí, como puedo hacerlo?",Customer_Care_Open_Account
¿Qué guía debería seguir para abrir una cuenta en esta compañía?,Customer_Care_Open_Account
¿Que necesito para abrir una cuenta?,Customer_Care_Open_Account
Puedo crear un nueva cuenta en linea?,Customer_Care_Open_Account
Puedo abrir mas de dos cuentas con ustedes?,Customer_Care_Open_Account
¿Puedes mostrarme dónde puedo crear un nuevo usuario?,Customer_Care_Open_Account
¿Puede mostrarme el método para crear una nueva cuenta?,Customer_Care_Open_Account
¿Puede ayudarme a crear una nueva cuenta?,Customer_Care_Open_Account
¿Podrías mostrarme cómo se crea una cuenta nueva?,Customer_Care_Open_Account
Necesito crear una nueva cuenta.,Customer_Care_Open_Account
Necesito ayuda para entrar en mi cuenta como cliente nuevo.,Customer_Care_Open_Account
¿Cómo puedo comenzar una cuenta?,Customer_Care_Open_Account
¿Cómo encontrar el registro de usuario en página?,Customer_Care_Open_Account
Me gustaría registrarme e iniciar sesión como un usuario completamente nuevo.,Customer_Care_Open_Account
"Estoy tratando de iniciar sesión como un nuevo usuario, ¿podría usted guiarme a través de los pasos por favor?",Customer_Care_Open_Account
¿Cuáles son los pasos que necesito seguir para abrir una cuenta con su empresa?,Customer_Care_Open_Account
¿Cuál es el proceso para abrir una cuenta nueva?,Customer_Care_Open_Account
¿Cuando queda creada mi cuenta?,Customer_Care_Open_Account
¿Cuando puedo acceder a mi nueva cuenta?,Customer_Care_Open_Account
Quisiera abrir una cuenta nueva.,Customer_Care_Open_Account
¿Tienes alguna oferta de producto disponible?,Customer_Care_Products_Offered
¿Qué clase de productos venden?,Customer_Care_Products_Offered
¿Qué características tiene este producto?,Customer_Care_Products_Offered
¿Qué artículos se encuentran actualmente en su inventario?,Customer_Care_Products_Offered
¿Puedo ver el inventario para buscar un artículo?,Customer_Care_Products_Offered
¿Puedes darme información sobre vuestros productos?,Customer_Care_Products_Offered
Productos y promociones,Customer_Care_Products_Offered
Nuevos productos disponibles,Customer_Care_Products_Offered
Necesito saber sobre este producto.,Customer_Care_Products_Offered
Me preguntaba qué productos puedo obtener en su empresa?,Customer_Care_Products_Offered
¿Es un buen producto?,Customer_Care_Products_Offered
¿En qué colores está disponible el teléfono?,Customer_Care_Products_Offered
¿Cuáles productos o servicios potenciales están disponibles?,Customer_Care_Products_Offered
¿Qué tipo de productos  ofrecen en su empresa?,Customer_Care_Products_Offered
